Id,IdMerchant,TransactionTime,CumsumAmount,CumsumTotal,Uniusers
152724,STUDIO F,9,0,0,0
151147,PRICE TRAVEL BARRANQU,9,0,0,0
150781,PEPE GANGA,9,0,0,0
130182,ELA,8,0,0,0
130688,FALABELLA TITAN,8,0,0,0
130351,EPK KIDSMART,8,0,0,0
154276,VIAJES FALABELLA,9,0,0,0
154278,VIAJES HC,9,0,0,0
153673,TIENDA PLAZA CENTRAL,9,0,0,0
153674,TIENDA PLAZA CENTRAL AM,9,0,0,0
154436,WWW.AVIANCA.COM,9,0,0,0
154521,ZARA,9,0,0,0
125135,ARTURO CALLE,8,0,0,0
125253,AUTOMOTORES COMERC A,8,0,0,0
127705,COSMOPOLITAN CASINO,8,0,0,0
124922,AMWAY COLOMBIA,8,0,0,0
145809,EPK KIDSMART,9,0,0,0
146146,FALABELLA TITAN,9,0,0,0
169131,TIENDA PLAZA CENTRAL,10,0,0,0
145640,ELA,9,0,0,0
169736,VIAJES HC,10,0,0,0
169894,WWW.AVIANCA.COM,10,0,0,0
143163,COSMOPOLITAN CASINO,9,0,0,0
140593,ARTURO CALLE,9,0,0,0
140711,AUTOMOTORES COMERC A,9,0,0,0
140380,AMWAY COLOMBIA,9,0,0,0
123605,ZARA,7,0,0,0
121808,STUDIO F,7,0,0,0
122072,SUPERMERCADO MERCACENTRO,7,0,0,0
118804,MOVISTAR,7,0,0,0
123360,VIAJES FALABELLA,7,0,0,0
123362,VIAJES HC,7,0,0,0
123520,WWW.AVIANCA.COM,7,0,0,0
122843,TIQUETESBARATOS.COM,7,0,0,0
122757,TIENDA PLAZA CENTRAL,7,0,0,0
122758,TIENDA PLAZA CENTRAL AM,7,0,0,0
112247,COSMOPOLITAN CASINO,7,0,0,0
112727,DESPEGAR COLOMBIA,7,0,0,0
111870,COMCEL,7,0,0,0
109354,ALMACENES LA 14,7,0,0,0
108898,AGENCIA DE SEGUROS FALABELLA,7,0,0,0
109464,AMWAY COLOMBIA,7,0,0,0
98015,EASY,6,0,0,0
99266,ELA,6,0,0,0
101577,JUMBO CENCOSUD,6,0,0,0
99766,FALABELLA,6,0,0,0
99772,FALABELLA TITAN,6,0,0,0
101801,LA 14 - ALMACENES,6,0,0,0
101575,JUMBO,6,0,0,0
118441,METRO,7,0,0,0
99435,EPK KIDSMART,6,0,0,0
119865,PEPE GANGA,7,0,0,0
