Id,IdMerchant,TransactionTime,CumsumAmount,CumsumTotal,Uniusers
9381,LATAM AIRLINES COLOMBIA,0,0,0,0
376296,LATAM AIRLINES COLOMBIA,1,30400,1,1
71213,LATAM AIRLINES COLOMBIA,4,30400,1,1
55755,LATAM AIRLINES COLOMBIA,3,30400,1,1
40297,LATAM AIRLINES COLOMBIA,2,30400,1,1
86671,LATAM AIRLINES COLOMBIA,5,30400,1,1
391160,LATAM AIRLINES COLOMBIA,6,225580,2,2
117587,LATAM AIRLINES COLOMBIA,7,811250,4,3
373460,VIVA COLOMBIA,0,908685,5,5
1753,AVIANCA,0,1206032,4,4
17211,AVIANCA,1,1683482,5,5
133045,LATAM AIRLINES COLOMBIA,8,2133860,10,9
393674,VIVA COLOMBIA,1,2790520,9,9
46139,VIVA COLOMBIA,2,2790520,9,9
92513,VIVA COLOMBIA,5,2941810,11,11
77055,VIVA COLOMBIA,4,2941810,11,11
423466,VIVA COLOMBIA,3,2941810,11,11
424835,VIVA COLOMBIA,6,3099182,12,12
32669,AVIANCA,2,3396302,6,6
386224,VIVA COLOMBIA,7,4002208,15,13
48127,AVIANCA,3,4081462,8,8
163961,LATAM AIRLINES COLOMBIA,10,4625014,16,15
148503,LATAM AIRLINES COLOMBIA,9,4625014,16,15
409570,LATAM AIRLINES COLOMBIA,11,6046644,19,18
413872,LATAM AIRLINES COLOMBIA,12,7239074,24,22
63585,AVIANCA,4,7519048,12,12
390372,VIVA COLOMBIA,8,7894510,24,22
210335,LATAM AIRLINES COLOMBIA,13,8086404,29,27
398124,AVIANCA,5,8126098,15,15
383629,LATAM AIRLINES COLOMBIA,14,8511174,31,29
418151,LATAM AIRLINES COLOMBIA,15,9481955,34,32
396882,AVIANCA,6,10902037,22,21
391797,LATAM AIRLINES COLOMBIA,16,10921215,39,36
272167,LATAM AIRLINES COLOMBIA,17,12173215,42,39
109959,AVIANCA,7,12210667,26,25
287625,LATAM AIRLINES COLOMBIA,18,12574335,43,40
303083,LATAM AIRLINES COLOMBIA,19,13169065,46,42
372316,VIVA COLOMBIA,9,13578761,40,37
318541,LATAM AIRLINES COLOMBIA,20,14642735,50,46
386876,VIVA COLOMBIA,10,16369492,49,46
383206,LATAM AIRLINES COLOMBIA,21,16623748,56,52
393062,AVIANCA,8,17672068,45,43
349457,LATAM AIRLINES COLOMBIA,22,17730208,62,58
389456,LATAM AIRLINES COLOMBIA,23,18067748,64,61
373419,AVIANCA,9,21837848,59,55
377909,VIVA COLOMBIA,11,21984655,69,64
416354,AVIANCA,10,27652617,78,73
424666,VIVA COLOMBIA,12,28695950,91,84
171791,AVIANCA,11,31555637,97,90
411732,VIVA COLOMBIA,13,34699231,102,95
412839,VIVA COLOMBIA,14,37336275,115,108
424850,AVIANCA,12,38482291,116,107
247093,VIVA COLOMBIA,15,39093378,124,117
202707,AVIANCA,13,42962218,127,117
394237,VIVA COLOMBIA,16,44436742,139,131
421006,VIVA COLOMBIA,17,48067338,157,149
393388,VIVA COLOMBIA,18,49662430,167,159
413921,VIVA COLOMBIA,19,53428070,181,173
411111,AVIANCA,14,53566763,151,139
388552,VIVA COLOMBIA,20,55414915,190,182
375044,VIVA COLOMBIA,21,58798116,201,193
399402,VIVA COLOMBIA,22,62924336,212,204
404110,VIVA COLOMBIA,23,64583243,220,213
418150,AVIANCA,15,64829373,166,153
393227,AVIANCA,16,67475673,181,168
264539,AVIANCA,17,77814761,196,181
389934,AVIANCA,18,83188405,209,194
413920,AVIANCA,19,94442219,224,209
386138,AVIANCA,20,109287266,242,227
377294,AVIANCA,21,124262116,255,240
403376,AVIANCA,22,129187571,274,258
389455,AVIANCA,23,131635171,282,267
